Month, 2005, 2006,2007,2008,2009,2010,2011,2012,2013,2014
jan,0,0,0,0,0,0,0,0,0,0
feb,0,0,0,0,0,0,4,0,0,0
mar,2,0,6,0,0,3,8,0,0,1
apr,0,0,0,8,24,0,3,3,2,16
may,0,3,19,33,11,0,3,1,11,32
jun,0,13,11,33,3,7,10,9,7,1
jul,6,32,1,11,7,0,5,0,0,16
aug,9,0,12,16,31,26,0,1,3,1
sep,5,8,30,51,36,54,26,2,16,26
oct,8,15,16,48,9,32,38,38,27,68
nov,12,0,1,16,7,17,0,8,0,2
dec,0,0,0,0,0,0,0,0,0,0
